ID	Name	NameInSource	Glottocode	SubGroup	Latitude	Longitude
Ampari	Ampari	Ampari (Nando, KP)	ampa1238	Dogon	14.25856667	-3.952633333
BankanTey	Bankan Tey	Bankan-Tey (Walo, JH)	bent1238	Dogon	15.06848333	-2.9103
BenTey	Ben Tey	Ben Tey (Beni, JH)	bent1238	Dogon	14.8524	-2.946416667
Bunoge	Bunoge	Bunoge (Boudou)	buno1241	Dogon	14.65323333	-3.793616667
DogulDomA	Dogul Dom (Bendiely & Kundialang, BC)	Dogul Dom (Bendiely & Kundialang, BC)	dogu1235	Dogon	14.49455	-3.560383333
DogulDomB	Dogul Dom (Kundialang)	Dogul Dom (Kundialang, JH)	dogu1235	Dogon	14.49455	-3.560383333
DonnoSo	Donno So	Donno So	donn1239	Dogon	14.47218333	-3.411433333
Gourou	Gourou	Gourou (Kiri, JH)	guru1265	Dogon	13.96666667	-3.016666667
JamsayDouentza	Jamsay (Douentza area, JH)	Jamsay (Douentza area, JH)				
JamsayMondoro	Jamsay Mondoro	Jamsay (Mondoro, JH)	jams1239	Dogon	14.67628333	-1.9522
Mombo	Mombo	Mombo (Songho, KP)	momb1254	Dogon	14.4	-3.7
Najamba	Najamba	Najamba (Kubewel-Adia, JH)	bond1248	Dogon	14.98333333	-3.033333333
Nanga	Nanga	Nanga (Anda, JH)	nang1261	Dogon	14.81938333	-3.010433333
Penange	Penange	Penange (Pinia)	pena1270	Dogon	14.85205	-3.0218
PergeTegu	Perge_Tegu	Perge Tegu (Pergué, JH)	perg1234	Dogon	14.85205	-3.0218
TebulUre	Tebul_Ure	Tebul Ure (JH)	tebu1239	Dogon	14.68625	-3.062283333
Tiranige	Tiranige	Tiranige (Boui, JH)	tira1258	Dogon	14.85	-3.733333333
TogoKan	Togo-Kan	Togo-Kan (Koporo-pen, JH with BT)	togo1254	Dogon	14.22238333	-3.29865
TommoSoTongoTongo	Tommo-So (Tongo Tongo, LM)	Tommo-So (Tongo Tongo, LM)				
TomoKanDiangassagou	Tomo Kan Diangassagou	Tomo Kan (Diangassagou)	tomo1243	Dogon	13.99558333	-3.945583333
TomoKanSegue	Tomo Kan Segue	Tomo Kan (Segue)	tomo1243	Dogon	13.84356667	-3.752166667
ToroTegu	Toro_Tegu	Toro Tegu (Toupere, JH)	toro1253	Dogon	15.00526667	-2.085
YandaDom	Yanda_Dom	Yanda Dom (Yanda, JH)	yand1257	Dogon	14.64718333	-3.148166667
YornoSo	Yorno_So	Yorno So (Yendouma, JH)	yorn1234	Dogon	14.56	-3.24
